County,Years,Dollars ($)
Lake,2014,45465
Lee,2014,47908
Leon,2014,46620
Levy,2014,35483
Liberty,2014,38990
Madison,2014,33520
Manatee,2014,49228
Marion,2014,39339
Martin,2014,51703
Monroe,2014,55449
Nassau,2014,55256
Okaloosa,2014,55768
Okeechobee,2014,35490
Orange,2014,47556
Osceola,2014,44551
Palm Beach,2014,52878
Pasco,2014,44518
Pinellas,2014,45574
Polk,2014,43063
Putnam,2014,32714
St. Johns,2014,65575
St. Lucie,2014,42665
Santa Rosa,2014,58199
Sarasota,2014,50304
Seminole,2014,57875
Sumter,2014,49874
Suwannee,2014,37879
Taylor,2014,36907
Union,2014,41476
Volusia,2014,41714
Wakulla,2014,53143
Walton,2014,44468
Washington,2014,38563
Florida,2013,46956
Alachua,2013,42149
Baker,2013,49236
Bay,2013,47461
Bradford,2013,40259
Brevard,2013,48039
Broward,2013,51251
Calhoun,2013,32780
Charlotte,2013,44378
Citrus,2013,39100
Clay,2013,59482
Collier,2013,55843
Columbia,2013,38070
Miami-Dade,2013,43100
DeSoto,2013,34963
Dixie,2013,33981
Duval,2013,48323
Escambia,2013,43918
Flagler,2013,47233
Franklin,2013,38328
Gadsden,2013,35380
Gilchrist,2013,38406
Glades,2013,34694
Gulf,2013,40455
Hamilton,2013,37716
Hardee,2013,37125
Hendry,2013,35425
Hernando,2013,41024
Highlands,2013,35560
Hillsborough,2013,49596
Holmes,2013,35511
Indian River,2013,44772
Jackson,2013,36809
Jefferson,2013,44170
Lafayette,2013,39722
Lake,2013,45035
Lee,2013,47439
Leon,2013,46369
Levy,2013,34348
Liberty,2013,39681
Madison,2013,33833
Manatee,2013,47876
Marion,2013,39453
Martin,2013,49846
Monroe,2013,53607
Nassau,2013,55315
Okaloosa,2013,54684
Okeechobee,2013,34570
Orange,2013,47581
Osceola,2013,43891
Palm Beach,2013,52432
Pasco,2013,43888
Pinellas,2013,45535
Polk,2013,43113
Putnam,2013,32497
St. Johns,2013,64876
St. Lucie,2013,43413
Santa Rosa,2013,57703
Sarasota,2013,49052
Seminole,2013,58175
Sumter,2013,48493
Suwannee,2013,35698
Taylor,2013,36356
Union,2013,42660
Volusia,2013,42457
Wakulla,2013,52691
Walton,2013,43640
Washington,2013,38501
Florida,2012,47309
Alachua,2012,42818
Baker,2012,47149
Bay,2012,47364
Bradford,2012,39082
Brevard,2012,49099
Broward,2012,51603
Calhoun,2012,32480
Charlotte,2012,44596
Citrus,2012,39034
Clay,2012,59649
Collier,2012,56104
Columbia,2012,37534
Miami-Dade,2012,43464
DeSoto,2012,35683
Dixie,2012,35476
Duval,2012,48906
Escambia,2012,43806
Flagler,2012,48134
Franklin,2012,37428
Gadsden,2012,35593
Gilchrist,2012,36521
Glades,2012,35219
Gulf,2012,39535
Hamilton,2012,36875
Hardee,2012,36115
Hendry,2012,35736
Hernando,2012,41098
Highlands,2012,35350
Hillsborough,2012,49450
Holmes,2012,34928
Indian River,2012,45274
Jackson,2012,38917
Jefferson,2012,41163
Lafayette,2012,44180
Lake,2012,45663
Lee,2012,48453
Leon,2012,45915
Levy,2012,35093
Liberty,2012,39225
Madison,2012,34361
Manatee,2012,47910
Marion,2012,39770
Martin,2012,50573
Monroe,2012,53418
Nassau,2012,57163
Okaloosa,2012,54118
Okeechobee,2012,34289
Orange,2012,48429
Osceola,2012,44887
Palm Beach,2012,52806
Pasco,2012,43787
Pinellas,2012,46051
Polk,2012,43606
Putnam,2012,34429
St. Johns,2012,64346
St. Lucie,2012,43923
Santa Rosa,2012,57491
Sarasota,2012,48900
Seminole,2012,58577
Sumter,2012,46981
Suwannee,2012,36159
Taylor,2012,34634
Union,2012,43750
Volusia,2012,43419
Wakulla,2012,53385
Walton,2012,44254
Washington,2012,38536
Florida,2011,47827
Alachua,2011,41373
Baker,2011,47041
Bay,2011,48225
Bradford,2011,41397
Brevard,2011,50068
Broward,2011,51782
Calhoun,2011,31142
Charlotte,2011,45112
Citrus,2011,38189
Clay,2011,59994
Collier,2011,56876
Columbia,2011,38589
Miami-Dade,2011,43957
DeSoto,2011,36407
Dixie,2011,34243
Duval,2011,49964
Escambia,2011,43707
Flagler,2011,48708
Franklin,2011,37017
Gadsden,2011,33453
Gilchrist,2011,38467
Glades,2011,39611
Gulf,2011,41291
Hamilton,2011,36683
Hardee,2011,38046
Hendry,2011,37989
Hernando,2011,42700
Highlands,2011,34913
Hillsborough,2011,50195
Holmes,2011,33510
Indian River,2011,46363
Jackson,2011,39869
Jefferson,2011,42096
Lafayette,2011,49713
Lake,2011,47509
Lee,2011,49444
Leon,2011,45827
Levy,2011,35920
Liberty,2011,40893
Madison,2011,36557
Manatee,2011,48181
Marion,2011,40103
Martin,2011,53612
Monroe,2011,53889
Nassau,2011,58933
Okaloosa,2011,54140
Okeechobee,2011,36929
Orange,2011,49731
Osceola,2011,46479
Palm Beach,2011,52951
Pasco,2011,44103
Pinellas,2011,45891
Polk,2011,44398
Putnam,2011,34174
St. Johns,2011,64153
St. Lucie,2011,44947
Santa Rosa,2011,55913
Sarasota,2011,49212
Seminole,2011,58908
Sumter,2011,44817
Suwannee,2011,37775
Taylor,2011,38005
Union,2011,45645
Volusia,2011,44169
Wakulla,2011,54151
Walton,2011,46926
Washington,2011,37036
Florida,2010,47661
Alachua,2010,40644
Baker,2010,47276
Bay,2010,47770
Bradford,2010,41126
Brevard,2010,49523
Broward,2010,51694
Calhoun,2010,31699
Charlotte,2010,45037
Citrus,2010,37933
Clay,2010,61185
Collier,2010,58106
Columbia,2010,38214
Miami-Dade,2010,43605
DeSoto,2010,35979
Dixie,2010,32312
Duval,2010,49463
Escambia,2010,43573
Flagler,2010,48090
Franklin,2010,36490
Gadsden,2010,35728
Gilchrist,2010,37039
Glades,2010,39429
Gulf,2010,39178
Hamilton,2010,37613
Hardee,2010,37466
Hendry,2010,37298
Hernando,2010,42011
Highlands,2010,34946
Hillsborough,2010,49536
Holmes,2010,32247
Indian River,2010,47341
Jackson,2010,38257
Jefferson,2010,41359
Lafayette,2010,46445
Lake,2010,46477
Lee,2010,50014
Leon,2010,44490
Levy,2010,35737
Liberty,2010,40777
Madison,2010,37459
Manatee,2010,47812
Marion,2010,40339
Martin,2010,53210
Monroe,2010,53821
Nassau,2010,58712
Okaloosa,2010,54242
Okeechobee,2010,38339
Orange,2010,50138
Osceola,2010,46328
Palm Beach,2010,53242
Pasco,2010,44228
Pinellas,2010,45258
Polk,2010,43946
Putnam,2010,34645
St. Johns,2010,62663
St. Lucie,2010,45196
Santa Rosa,2010,55129
Sarasota,2010,49388
Seminole,2010,58971
Sumter,2010,43079
Suwannee,2010,36352
Taylor,2010,37408
Union,2010,41794
Volusia,2010,44400
Wakulla,2010,53301
Walton,2010,47273
Washington,2010,36216
