,County,Years,Rate,Count
157,Hamilton,2018,0,0
158,Hardee,2018,0,0
159,Hendry,2018,0,0
160,Hernando,2018,1.6,3
161,Highlands,2018,5.8,6
162,Hillsborough,2018,2.1,30
163,Holmes,2018,0,0
164,Indian River,2018,2,3
165,Jackson,2018,0,0
166,Jefferson,2018,0,0
167,Lafayette,2018,0,0
168,Lake,2018,2.3,8
169,Lee,2018,0.7,5
170,Leon,2018,1.4,4
171,Levy,2018,0,0
172,Liberty,2018,0,0
173,Madison,2018,0,0
174,Manatee,2018,2.4,9
175,Marion,2018,3.4,12
176,Martin,2018,1.3,2
177,Monroe,2018,3.9,3
178,Nassau,2018,2.4,2
179,Okaloosa,2018,1.5,3
180,Okeechobee,2018,2.4,1
181,Orange,2018,1.4,19
182,Osceola,2018,1.7,6
183,Palm Beach,2018,3.2,46
184,Pasco,2018,2.3,12
185,Pinellas,2018,2.9,28
186,Polk,2018,2.2,15
187,Putnam,2018,2.7,2
188,St. Johns,2018,0.8,2
189,St. Lucie,2018,3,9
190,Santa Rosa,2018,2.3,4
191,Sarasota,2018,5.3,22
192,Seminole,2018,0.9,4
193,Sumter,2018,4,5
194,Suwannee,2018,4.4,2
195,Taylor,2018,0,0
196,Union,2018,6.3,1
197,Volusia,2018,2.4,13
198,Wakulla,2018,3.1,1
199,Walton,2018,0,0
200,Washington,2018,4,1
201,Alachua,2017,1.2,3
202,Baker,2017,0,0
203,Bay,2017,3.4,6
204,Bradford,2017,0,0
205,Brevard,2017,3.8,22
206,Broward,2017,1.4,26
207,Calhoun,2017,13.6,2
208,Charlotte,2017,1.1,2
209,Citrus,2017,2.8,4
210,Clay,2017,0.9,2
211,Collier,2017,1.1,4
212,Columbia,2017,2.9,2
213,Miami-Dade,2017,0.7,18
214,DeSoto,2017,0,0
215,Dixie,2017,0,0
216,Duval,2017,2.1,20
217,Escambia,2017,2.6,8
218,Flagler,2017,4.7,5
219,Franklin,2017,0,0
220,Gadsden,2017,0,0
221,Gilchrist,2017,0,0
222,Glades,2017,0,0
223,Gulf,2017,0,0
224,Hamilton,2017,0,0
225,Hardee,2017,0,0
226,Hendry,2017,0,0
227,Hernando,2017,4.4,8
228,Highlands,2017,2.9,3
229,Hillsborough,2017,1.6,22
230,Holmes,2017,0,0
231,Indian River,2017,2,3
232,Jackson,2017,4,2
233,Jefferson,2017,6.9,1
234,Lafayette,2017,0,0
235,Lake,2017,3,10
236,Lee,2017,2.3,16
237,Leon,2017,1.4,4
238,Levy,2017,2.4,1
239,Liberty,2017,0,0
240,Madison,2017,0,0
241,Manatee,2017,2.2,8
242,Marion,2017,1.1,4
243,Martin,2017,2,3
244,Monroe,2017,1.3,1
245,Nassau,2017,0,0
246,Okaloosa,2017,2.6,5
247,Okeechobee,2017,2.4,1
248,Orange,2017,1.2,16
249,Osceola,2017,1.2,4
250,Palm Beach,2017,3.8,53
251,Pasco,2017,2,10
252,Pinellas,2017,2.2,21
253,Polk,2017,2.9,19
254,Putnam,2017,4.1,3
255,St. Johns,2017,2.2,5
256,St. Lucie,2017,1.7,5
257,Santa Rosa,2017,0.6,1
258,Sarasota,2017,3.4,14
259,Seminole,2017,1.3,6
260,Sumter,2017,1.6,2
261,Suwannee,2017,0,0
262,Taylor,2017,0,0
263,Union,2017,0,0
264,Volusia,2017,2.1,11
265,Wakulla,2017,0,0
266,Walton,2017,0,0
267,Washington,2017,0,0
268,Alachua,2016,0.8,2
269,Baker,2016,0,0
270,Bay,2016,1.7,3
271,Bradford,2016,0,0
272,Brevard,2016,3.7,21
273,Broward,2016,1.8,34
274,Calhoun,2016,6.9,1
275,Charlotte,2016,0.6,1
276,Citrus,2016,2.1,3
277,Clay,2016,3.4,7
278,Collier,2016,1.1,4
279,Columbia,2016,0,0
280,Miami-Dade,2016,0.7,20
281,DeSoto,2016,2.8,1
282,Dixie,2016,0,0
283,Duval,2016,1.5,14
284,Escambia,2016,2.6,8
285,Flagler,2016,2.9,3
286,Franklin,2016,8.4,1
287,Gadsden,2016,2.1,1
288,Gilchrist,2016,0,0
289,Glades,2016,7.6,1
290,Gulf,2016,0,0
291,Hamilton,2016,0,0
292,Hardee,2016,3.6,1
293,Hendry,2016,0,0
294,Hernando,2016,2.2,4
295,Highlands,2016,2,2
296,Hillsborough,2016,1.8,25
297,Holmes,2016,0,0
298,Indian River,2016,3.4,5
299,Jackson,2016,0,0
300,Jefferson,2016,0,0
301,Lafayette,2016,0,0
302,Lake,2016,0.9,3
303,Lee,2016,1.5,10
304,Leon,2016,1,3
305,Levy,2016,0,0
306,Liberty,2016,0,0
307,Madison,2016,0,0
308,Manatee,2016,3.1,11
309,Marion,2016,2.6,9
310,Martin,2016,3.3,5
311,Monroe,2016,0,0
312,Nassau,2016,0,0
313,Okaloosa,2016,0,0
314,Okeechobee,2016,4.9,2
315,Orange,2016,1.5,19
316,Osceola,2016,1.2,4
317,Palm Beach,2016,4.3,60
318,Pasco,2016,3.4,17
319,Pinellas,2016,3.7,35
320,Polk,2016,2,13
321,Putnam,2016,1.4,1
322,St. Johns,2016,1.8,4
323,St. Lucie,2016,2.4,7
324,Santa Rosa,2016,2.4,4
325,Sarasota,2016,3,12
326,Seminole,2016,3.1,14
327,Sumter,2016,2.5,3
328,Suwannee,2016,0,0
329,Taylor,2016,0,0
330,Union,2016,0,0
331,Volusia,2016,2.9,15
332,Wakulla,2016,0,0
333,Walton,2016,1.6,1
334,Washington,2016,0,0
335,Alachua,2015,2,5
336,Baker,2015,3.7,1
337,Bay,2015,2.9,5
338,Bradford,2015,0,0
339,Brevard,2015,4.3,24
340,Broward,2015,1.5,28
341,Calhoun,2015,0,0
342,Charlotte,2015,1.8,3
343,Citrus,2015,0.7,1
344,Clay,2015,2.5,5
345,Collier,2015,1.4,5
346,Columbia,2015,1.5,1
347,Miami-Dade,2015,0.8,21
348,DeSoto,2015,0,0
349,Dixie,2015,0,0
350,Duval,2015,2.6,24
351,Escambia,2015,2.3,7
352,Flagler,2015,2.9,3
353,Franklin,2015,8.4,1
354,Gadsden,2015,0,0
355,Gilchrist,2015,0,0
356,Glades,2015,0,0
357,Gulf,2015,6.1,1
358,Hamilton,2015,6.8,1
359,Hardee,2015,3.6,1
360,Hendry,2015,5.2,2
361,Hernando,2015,2.3,4
362,Highlands,2015,3,3
363,Hillsborough,2015,1.7,22
364,Holmes,2015,0,0
365,Indian River,2015,3.5,5
366,Jackson,2015,2,1
367,Jefferson,2015,0,0
368,Lafayette,2015,0,0
369,Lake,2015,3.1,10
370,Lee,2015,2.1,14
371,Leon,2015,0.7,2
372,Levy,2015,2.5,1
373,Liberty,2015,0,0
374,Madison,2015,5.2,1
375,Manatee,2015,2.3,8
376,Marion,2015,2.6,9
377,Martin,2015,2.7,4
378,Monroe,2015,1.3,1
379,Nassau,2015,2.6,2
380,Okaloosa,2015,3.6,7
381,Okeechobee,2015,0,0
382,Orange,2015,1.7,22
383,Osceola,2015,1.6,5
384,Palm Beach,2015,4.1,56
385,Pasco,2015,3.7,18
386,Pinellas,2015,3.1,29
387,Polk,2015,1.7,11
388,Putnam,2015,0,0
389,St. Johns,2015,2.3,5
390,St. Lucie,2015,3.5,10
391,Santa Rosa,2015,2.4,4
392,Sarasota,2015,2.8,11
393,Seminole,2015,2.3,10
394,Sumter,2015,3.4,4
395,Suwannee,2015,4.5,2
396,Taylor,2015,0,0
397,Union,2015,0,0
398,Volusia,2015,2.9,15
399,Wakulla,2015,0,0
400,Walton,2015,1.6,1
401,Washington,2015,0,0
402,Alachua,2014,1.2,3
403,Baker,2014,3.7,1
404,Bay,2014,3.5,6
405,Bradford,2014,3.7,1
406,Brevard,2014,2.5,14
407,Broward,2014,2.2,39
408,Calhoun,2014,0,0
409,Charlotte,2014,1.2,2
410,Citrus,2014,1.4,2
411,Clay,2014,1.5,3
412,Collier,2014,1.2,4
413,Columbia,2014,2.9,2
414,Miami-Dade,2014,1,27
415,DeSoto,2014,11.6,4
416,Dixie,2014,12.2,2
417,Duval,2014,1.3,12
418,Escambia,2014,1.3,4
419,Flagler,2014,5,5
420,Franklin,2014,0,0
421,Gadsden,2014,0,0
422,Gilchrist,2014,0,0
423,Glades,2014,0,0
424,Gulf,2014,6.1,1
425,Hamilton,2014,0,0
426,Hardee,2014,0,0
427,Hendry,2014,0,0
428,Hernando,2014,1.1,2
429,Highlands,2014,5,5
430,Hillsborough,2014,2,26
431,Holmes,2014,5,1
432,Indian River,2014,3.5,5
433,Jackson,2014,2,1
434,Jefferson,2014,0,0
435,Lafayette,2014,0,0
436,Lake,2014,3.2,10
437,Lee,2014,3,20
438,Leon,2014,0,0
439,Levy,2014,4.9,2
440,Liberty,2014,0,0
441,Madison,2014,0,0
442,Manatee,2014,3.2,11
443,Marion,2014,3,10
444,Martin,2014,2.7,4
445,Monroe,2014,1.4,1
446,Nassau,2014,1.3,1
447,Okaloosa,2014,2.1,4
448,Okeechobee,2014,7.5,3
449,Orange,2014,2.1,26
450,Osceola,2014,1.7,5
451,Palm Beach,2014,3.7,51
452,Pasco,2014,2.1,10
453,Pinellas,2014,3,28
454,Polk,2014,3,19
455,Putnam,2014,2.8,2
456,St. Johns,2014,2.9,6
457,St. Lucie,2014,2.5,7
458,Santa Rosa,2014,1.9,3
459,Sarasota,2014,3.6,14
460,Seminole,2014,1.4,6
461,Sumter,2014,1.8,2
462,Suwannee,2014,0,0
463,Taylor,2014,4.4,1
464,Union,2014,0,0
465,Volusia,2014,3.8,19
466,Wakulla,2014,0,0
467,Walton,2014,0,0
468,Washington,2014,4,1
469,Alachua,2013,2,5
470,Baker,2013,3.7,1
471,Bay,2013,0.6,1
472,Bradford,2013,7.3,2
473,Brevard,2013,4.4,24
474,Broward,2013,1.9,34
475,Calhoun,2013,0,0
476,Charlotte,2013,0.6,1
477,Citrus,2013,1.4,2
478,Clay,2013,3.1,6
479,Collier,2013,1.2,4
480,Columbia,2013,3,2
481,Miami-Dade,2013,0.6,16
482,DeSoto,2013,5.8,2
483,Dixie,2013,6.1,1
484,Duval,2013,1.7,15
485,Escambia,2013,2,6
486,Flagler,2013,3.1,3
487,Franklin,2013,0,0
488,Gadsden,2013,0,0
489,Gilchrist,2013,0,0
490,Glades,2013,0,0
491,Gulf,2013,0,0
492,Hamilton,2013,0,0
493,Hardee,2013,0,0
494,Hendry,2013,0,0
495,Hernando,2013,2.3,4
496,Highlands,2013,1,1
497,Hillsborough,2013,2.2,28
498,Holmes,2013,0,0
499,Indian River,2013,2.1,3
500,Jackson,2013,2,1
501,Jefferson,2013,0,0
502,Lafayette,2013,0,0
503,Lake,2013,2.3,7
504,Lee,2013,1.7,11
505,Leon,2013,1.4,4
506,Levy,2013,5,2
507,Liberty,2013,0,0
508,Madison,2013,0,0
509,Manatee,2013,5.7,19
510,Marion,2013,2.4,8
511,Martin,2013,5.4,8
512,Monroe,2013,6.8,5
513,Nassau,2013,2.7,2
514,Okaloosa,2013,1.1,2
515,Okeechobee,2013,2.5,1
516,Orange,2013,1.5,18
517,Osceola,2013,1.4,4
518,Palm Beach,2013,3,41
519,Pasco,2013,3.6,17
520,Pinellas,2013,2.8,26
521,Polk,2013,1.1,7
522,Putnam,2013,2.8,2
523,St. Johns,2013,3,6
524,St. Lucie,2013,1.8,5
525,Santa Rosa,2013,1.3,2
526,Sarasota,2013,5.2,20
527,Seminole,2013,2.1,9
528,Sumter,2013,4.7,5
529,Suwannee,2013,0,0
530,Taylor,2013,0,0
531,Union,2013,6.5,1
532,Volusia,2013,4.2,21
533,Wakulla,2013,3.2,1
534,Walton,2013,0,0
535,Washington,2013,0,0
536,Alachua,2012,2,5
537,Baker,2012,3.7,1
538,Bay,2012,1.2,2
539,Bradford,2012,7.4,2
540,Brevard,2012,2.7,15
541,Broward,2012,1.9,34
542,Calhoun,2012,0,0
543,Charlotte,2012,1.2,2
544,Citrus,2012,2.8,4
545,Clay,2012,3.1,6
546,Collier,2012,2.7,9
547,Columbia,2012,1.5,1
548,Miami-Dade,2012,0.9,24
549,DeSoto,2012,0,0
550,Dixie,2012,6.1,1
551,Duval,2012,1.8,16
552,Escambia,2012,2,6
553,Flagler,2012,3.1,3
554,Franklin,2012,0,0
555,Gadsden,2012,2.1,1
556,Gilchrist,2012,0,0
557,Glades,2012,0,0
558,Gulf,2012,0,0
559,Hamilton,2012,0,0
560,Hardee,2012,0,0
561,Hendry,2012,0,0
562,Hernando,2012,3.5,6
563,Highlands,2012,0,0
564,Hillsborough,2012,1.8,23
565,Holmes,2012,5,1
566,Indian River,2012,2.9,4
567,Jackson,2012,2,1
568,Jefferson,2012,0,0
569,Lafayette,2012,0,0
570,Lake,2012,1.3,4
571,Lee,2012,2.8,18
572,Leon,2012,1.4,4
573,Levy,2012,2.5,1
574,Liberty,2012,0,0
575,Madison,2012,0,0
576,Manatee,2012,1.5,5
577,Marion,2012,2.1,7
578,Martin,2012,0.7,1
579,Monroe,2012,4.1,3
580,Nassau,2012,0,0
581,Okaloosa,2012,1.6,3
582,Okeechobee,2012,2.5,1
583,Orange,2012,2.1,25
584,Osceola,2012,1.4,4
585,Palm Beach,2012,3.8,51
586,Pasco,2012,3,14
587,Pinellas,2012,5.5,51
588,Polk,2012,2,12
589,Putnam,2012,2.7,2
590,St. Johns,2012,3.5,7
591,St. Lucie,2012,3.2,9
592,Santa Rosa,2012,2.6,4
593,Sarasota,2012,3.9,15
594,Seminole,2012,1.2,5
595,Sumter,2012,2,2
596,Suwannee,2012,4.6,2
597,Taylor,2012,8.7,2
598,Union,2012,6.4,1
599,Volusia,2012,3.2,16
600,Wakulla,2012,3.3,1
601,Walton,2012,3.5,2
602,Washington,2012,0,0
603,Alachua,2011,3.2,8
604,Baker,2011,0,0
605,Bay,2011,0.6,1
606,Bradford,2011,0,0
607,Brevard,2011,2.4,13
608,Broward,2011,2.4,42
609,Calhoun,2011,6.8,1
610,Charlotte,2011,0,0
611,Citrus,2011,5.7,8
612,Clay,2011,1.6,3
613,Collier,2011,0.9,3
614,Columbia,2011,3,2
615,Miami-Dade,2011,0.7,18
616,DeSoto,2011,2.9,1
617,Dixie,2011,0,0
618,Duval,2011,1,9
619,Escambia,2011,1,3
620,Flagler,2011,1,1
621,Franklin,2011,0,0
622,Gadsden,2011,0,0
623,Gilchrist,2011,0,0
624,Glades,2011,0,0
625,Gulf,2011,0,0
626,Hamilton,2011,0,0
627,Hardee,2011,0,0
628,Hendry,2011,0,0
629,Hernando,2011,4,7
630,Highlands,2011,3,3
631,Hillsborough,2011,2.4,30
632,Holmes,2011,5,1
633,Indian River,2011,0,0
634,Jackson,2011,2,1
635,Jefferson,2011,0,0
636,Lafayette,2011,0,0
637,Lake,2011,1.3,4
638,Lee,2011,2.7,17
639,Leon,2011,0.7,2
640,Levy,2011,2.5,1
641,Liberty,2011,0,0
642,Madison,2011,0,0
643,Manatee,2011,2.4,8
644,Marion,2011,2.1,7
645,Martin,2011,4.1,6
646,Monroe,2011,5.5,4
647,Nassau,2011,0,0
648,Okaloosa,2011,2.7,5
649,Okeechobee,2011,5,2
650,Orange,2011,2,23
651,Osceola,2011,1.5,4
652,Palm Beach,2011,2.8,37
653,Pasco,2011,3.9,18
654,Pinellas,2011,3,28
655,Polk,2011,3.1,19
656,Putnam,2011,1.4,1
657,St. Johns,2011,1,2
658,St. Lucie,2011,2.1,6
659,Santa Rosa,2011,1.3,2
660,Sarasota,2011,3.4,13
661,Seminole,2011,2.1,9
662,Sumter,2011,1,1
663,Suwannee,2011,0,0
664,Taylor,2011,0,0
665,Union,2011,0,0
666,Volusia,2011,1.6,8
667,Wakulla,2011,3.2,1
668,Walton,2011,3.6,2
669,Washington,2011,0,0
